timestamp,xtime,event
16961246,221,80
16962671,79,84
16963424,26,85
16969350,50,81
16970423,797,34
16971233,206,80
16971449,731,82
16972192,129,86
16974424,37,83
16977459,100,87
16977671,79,84
16978427,26,85
16980435,112,82
16981225,192,80
16984350,53,81
16986424,20,86
16989424,36,83
16990423,667,82
16991227,223,80
16992688,79,84
16993424,26,85
16999030,317,40
16999360,49,81
16999420,196,72
17000429,653,82
17001229,220,80
17001459,288,86
17004428,35,83
17007676,79,84
17008428,26,85
17010425,460,82
17011229,91,80
17014322,50,81
17016426,236,86
17018425,63,88
17019424,35,83
17020423,22,82
17021225,355,80
17022672,83,84
17023426,26,85
17027462,128,87
17029321,48,81
17030423,490,82
17031228,217,80
17031455,192,86
17034426,39,83
17036512,44,88
17037677,83,84
17038426,27,85
17040425,736,82
17041228,187,80
17044320,47,81
17046426,189,86
17049439,36,83
17050421,459,82
17051232,237,80
17052676,140,84
17053425,25,85
17059321,46,81
17060421,660,82
17061229,208,80
17061448,197,86
17061657,43,88
17064424,37,83
17067682,79,84
17068427,26,85
17070435,675,82
17071229,226,80
17074321,46,81
17076427,189,86
17077462,105,87
17079427,36,83
17080421,505,82
17081229,189,80
17082680,79,84
17083425,25,85
17086512,44,88
17089320,47,81
17090424,71,82
17091225,270,80
17091505,187,86
17094424,37,83
17097677,21,84
17098426,17,85
17100421,469,82
17101229,186,80
17104321,46,81
17106424,179,86
17109429,35,83
17110421,675,82
17111229,224,80
17111519,44,88
17112676,80,84
17113429,26,85
17119321,46,81
17120421,467,82
17121229,204,80
17121444,186,86
17124424,35,83
17127462,105,87
17127676,79,84
17128426,26,85
17130421,63,82
17131225,242,80
17134321,46,81
17136424,20,86
17136512,44,88
17139436,34,83
17140421,799,34
17141233,225,80
17141468,85,82
17142676,81,84
17143425,25,85
17149325,46,81
17150421,477,82
17151237,239,80
17151486,187,86
17154424,37,83
17157681,79,84
17158426,26,85
17160421,675,82
17161229,214,80
17161516,44,88
17164321,46,81
17166424,189,86
17169429,35,83
17170421,63,82
17171225,262,80
17172676,79,84
17173446,26,85
17177464,105,87
17179321,46,81
17180421,479,82
17181228,260,80
17181498,190,86
17184424,36,83
17186512,44,88
17187682,79,84
17188426,26,85
17190421,675,82
17191229,200,80
17194320,47,81
17196424,189,86
17199424,41,83
17200424,66,82
17201225,241,80
17202684,83,84
17203424,30,85
17209323,46,81
17210423,467,82
17211231,258,80
17211500,199,86
17211710,44,88
17214424,37,83
17217682,139,84
17218426,26,85
17220421,469,82
17221240,188,80
17224321,46,81
17226427,190,86
17227462,111,87
17229424,35,83
17230421,799,34
17231233,229,80
17231472,30,82
17232672,80,84
17233427,26,85
17236512,231,72
17239321,46,81
17240423,474,82
17241241,210,80
17241461,186,86
17244431,34,83
17247672,79,84
17248426,26,85
17250426,63,82
17251225,241,80
17254346,65,81
17256424,20,86
17259424,36,83
17260421,675,82
17261229,194,80
17262683,77,84
17263425,25,85
17269321,46,81
17270458,101,82
17271227,209,80
17271446,186,86
17274426,36,83
17277461,111,87
17277676,21,84
17278426,17,85
17280421,459,82
17281225,232,80
17284321,46,81
17286424,189,86
17289424,33,83
17290421,799,34
17291233,219,80
17291462,84,82
17292676,80,84
17293425,25,85
17299321,46,81
17300421,490,82
17301229,237,80
17301477,185,86
17304424,36,83
17307694,79,84
17307938,66,88
17308427,25,85
17310424,504,82
17311233,203,80
17311516,44,88
17314321,46,81
17316424,203,86
17319433,36,83
17320421,675,82
17321229,239,80
17322672,80,84
17323429,26,85
17327464,108,87
17329321,46,81
17330421,551,82
17331232,196,80
17331439,183,86
17334424,36,83
17336512,46,88
17337682,79,84
17338426,26,85
17340421,799,34
17341233,240,80
17341483,736,82
17344320,47,81
17346426,189,86
17349424,35,83
17350423,467,82
17351229,196,80
17352691,89,84
17353424,26,85
17359325,46,81
17360425,689,82
17361229,262,80
17361502,204,86
17361718,43,88
17364426,41,83
17367693,83,84
17368426,30,85
17370421,477,82
17371231,199,80
17374321,46,81
17376425,189,86
17377461,108,87
17379428,36,83
17380421,63,82
17381225,247,80
17382688,79,84
17383428,25,85
17386512,44,88
17389320,47,81
17390421,676,82
17391229,227,80
17391467,184,86
17394424,37,83
17397672,79,84
17398426,26,85
17400421,63,82
17401225,248,80
17404321,46,81
17406424,20,86
17409427,37,83
17410424,601,82
17411229,202,80
17411515,102,88
17412676,77,84
17413425,25,85
17419321,46,81
17420421,675,82
17421229,242,80
17421481,185,86
17424424,35,83
17427462,110,87
17427676,136,84
17428427,26,85
17430421,467,82
17431227,202,80
17434321,46,81
17436424,195,86
17436630,66,88
17439424,37,83
17440421,73,82
17441225,241,80
17442675,91,84
17443425,25,85
17449321,46,81
17450421,459,82
17451225,177,80
17451440,198,86
17454424,37,83
17457672,79,84
17458427,26,85
17460421,75,82
17461225,255,80
17461516,44,88
17464321,46,81
17466426,20,86
17469434,35,83
17470421,683,82
17471229,181,80
17472680,77,84
17473424,26,85
17477466,107,87
17479321,46,81
17480435,63,82
17481225,263,80
17481499,186,86
17484424,36,83
17486512,87,72
17486972,145,88
17487680,21,84
17488429,16,85
17490421,459,82
17491235,189,80
17494320,48,81
17496430,189,86
17499428,36,83
17500426,76,82
17501225,266,80
17502675,84,84
17503425,26,85
17509323,59,81
17510424,796,34
17511233,166,80
17511409,56,82
17511474,198,86
17511684,217,72
17514424,36,83
17517672,79,84
17518427,26,85
17520426,66,82
17521225,256,80
17524325,46,81
17526424,20,86
17527459,112,87
17529427,37,83
17530421,467,82
17531226,192,80
17532692,75,84
17533425,25,85
17539321,46,81
17540426,63,82
17541225,255,80
17541490,187,86
17544429,36,83
17547672,21,84
17548428,17,85
17550421,675,82
17551229,197,80
17554321,46,81
17556428,188,86
17559424,34,83
17560426,71,82
17561225,197,80
17562672,77,84
17563425,25,85
17569321,46,81
17570421,459,82
17571225,246,80
17571481,185,86
17574424,37,83
17577459,120,87
17577676,77,84
17578427,27,85
17580426,677,82
17581229,221,80
17584326,48,81
17586424,192,86
17589428,39,83
17590421,624,82
17591229,220,80
17592676,77,84
17593393,27,40
17593433,26,85
17593470,58,88
17599321,46,81
17600426,676,82
17601229,218,80
17601457,183,86
17604438,34,83
17607672,77,84
17608428,26,85
17610423,462,82
17611227,233,80
17611515,45,88
17614321,46,81
17616433,184,86
17619424,36,83
17620426,683,82
