timestamp,instance_count,seq_reached,seq_current,seq_total,item_changed_index,item_do_jump_remaining,valid,warning,finished,failure,stay_in_failsafe,flight_termination,item_do_jump_changed,execution_mode
17096467,2,-1,0,14,0,0,1,0,0,0,0,0,0,0
31294491,2,1,2,14,0,0,1,0,0,0,0,0,0,0
38012291,2,2,3,14,0,0,1,0,0,0,0,0,0,0
41347884,2,3,4,14,0,0,1,0,0,0,0,0,0,0
45611090,2,4,5,14,0,0,1,0,0,0,0,0,0,0
55544156,2,5,6,14,0,0,1,0,0,0,0,0,0,0
63649752,2,6,7,14,0,0,1,0,0,0,0,0,0,0
74669768,2,7,8,14,0,0,1,0,0,0,0,0,0,0
91515058,2,8,9,14,0,0,1,0,0,0,0,0,0,0
99148166,2,9,10,14,0,0,1,0,0,0,0,0,0,0
124491967,2,10,11,14,0,0,1,0,0,0,0,0,0,0
146620272,2,11,12,14,0,0,1,0,0,0,0,0,0,0
155092270,2,12,13,14,0,0,1,0,0,0,0,0,0,0
186741835,3,-1,0,14,0,0,1,0,0,0,0,0,0,0
