timestamp,instance_count,seq_reached,seq_current,seq_total,item_changed_index,item_do_jump_remaining,valid,warning,finished,failure,stay_in_failsafe,flight_termination,item_do_jump_changed,execution_mode
17157484,2,-1,0,6,0,0,1,0,0,0,0,0,0,0
24824383,2,-1,0,6,0,0,1,0,0,0,0,0,0,0
24834726,2,0,1,6,0,0,1,0,0,0,0,0,0,0
30703039,2,1,2,6,0,0,1,0,0,0,0,0,0,0
36909968,2,2,3,6,0,0,1,0,0,0,0,0,0,0
40938954,2,3,4,6,0,0,1,0,0,0,0,0,0,0
44863842,2,4,5,6,0,0,1,0,0,0,0,0,0,0
49093981,2,5,5,6,0,0,1,0,0,0,0,0,0,0
58711747,2,5,5,6,0,0,1,0,1,0,0,0,0,0
59541209,3,-1,0,6,0,0,1,0,0,0,0,0,0,0
