timestamp,xtime,event
17944829,48,81
17946427,92,82
17946531,19,86
17946563,16,85
17949427,37,83
17949500,92,87
17951216,160,80
17952674,25,84
17952841,53,81
17953657,492,72
17954426,473,82
17954910,279,86
17955202,25,85
17956020,37,88
17957336,44,88
17957424,35,83
17957495,124,87
17959216,239,80
17960681,88,84
17960830,49,81
17962425,698,82
17963134,179,86
17963327,26,85
17965339,47,88
17965429,39,83
17965503,97,87
17967220,88,80
17968676,88,84
17968831,20,81
17970425,18,82
17970502,36,86
17970550,16,85
17973339,43,88
17973444,28,83
17973481,87,87
17975218,214,80
17976674,21,84
17976830,47,81
17978426,491,82
17978928,183,86
17979124,29,85
17981336,44,88
17981424,37,83
17981495,105,87
17983216,211,80
17984671,96,84
17984830,51,81
17986425,119,82
17986555,19,86
17986588,28,85
17989336,43,88
17989424,37,83
17989495,99,87
17991216,273,80
17992671,24,84
17992830,51,81
17994426,490,82
17994927,186,86
17995127,24,85
17997336,50,88
17997424,35,83
17997495,105,87
17999216,183,80
18000671,92,84
18000830,47,81
18002426,478,82
18002915,178,86
18003107,25,85
18005336,44,88
18005424,36,83
18005495,101,87
18007218,197,80
18008671,92,84
18008830,47,81
18010435,634,82
18011080,176,86
18011270,24,85
18013336,44,88
18013424,36,83
18013495,101,87
18015216,182,80
18016671,92,84
18016830,47,81
18018426,96,82
18018534,19,86
18018566,16,85
18021336,43,88
18021424,36,83
18021495,95,87
18023216,210,80
18024672,21,84
18024830,47,81
18026426,695,82
18027132,176,86
18027322,25,85
18029336,44,88
18029424,34,83
18029495,101,87
18031216,196,80
18032671,92,84
18032830,47,81
18034425,486,82
18034922,176,86
18035112,25,85
18037336,44,88
18037424,37,83
18037495,101,87
18039216,185,80
18040671,92,84
18040830,47,81
18042426,96,82
18042534,19,86
18042566,16,85
18045336,43,88
18045429,37,83
18045502,96,87
18047216,210,80
18048671,21,84
18048830,47,81
18050426,477,82
18050915,177,86
18051106,25,85
18053336,44,88
18053424,33,83
18053495,101,87
18055216,220,80
18056671,92,84
18056830,47,81
18058425,709,82
18059145,176,86
18059335,25,85
18061336,44,88
18061424,36,83
18061495,101,87
18063216,182,80
18064673,92,84
18064830,47,81
18066426,491,82
18066929,181,86
18067124,25,85
18069339,44,88
18069424,37,83
18069495,107,87
18071216,171,80
18072672,92,84
