timestamp,xtime,event
16939407,27,87
16940676,34,36
16940722,50,83
16940784,20,84
16940814,15,85
16940982,458,82
16942504,299,86
16943040,84,87
16943165,49,81
16943251,99,80
16944676,34,36
16944722,36,83
16944770,87,84
16944867,29,85
16944982,24,82
16946505,20,86
16947040,67,87
16947147,20,81
16947224,95,80
16948676,34,36
16948722,21,83
16948754,29,84
16948793,15,85
16948984,24,82
16950505,20,86
16951041,67,87
16951149,19,81
16951225,95,80
16952676,33,36
16952721,21,83
16952754,28,84
16952792,16,85
16952982,24,82
16954529,19,86
16955059,76,39
16955148,19,81
16955178,20,87
16955232,211,80
16956704,21,83
16956738,33,84
16956781,16,85
16956984,1653,82
16958648,180,86
16959040,95,39
16959148,47,81
16959206,17,39
16959233,183,80
16959426,18,87
16960685,34,36
16960731,36,83
16960779,95,84
16960884,31,85
16960993,74,82
16962529,25,86
16963052,83,39
16963148,47,81
16963206,17,39
16963233,171,80
16963414,34,87
16964672,34,36
16964718,34,83
16964764,33,84
16964807,16,85
16964978,77,82
16966524,19,86
16967055,80,39
16967148,47,81
16967206,17,39
16967233,177,80
16967420,24,87
16968672,33,36
16968718,32,83
16968762,33,84
16968805,15,85
16968978,73,82
16970522,19,86
16971055,80,39
16971148,47,81
16971206,17,39
16971233,158,80
16971401,24,87
16972703,33,83
16972749,34,84
16972793,15,85
16972980,74,82
16974522,19,86
16975055,80,39
16975148,47,81
16975206,17,39
16975233,156,80
16975399,24,87
16976674,34,36
16976720,32,83
16976764,33,84
16976807,16,85
16976980,74,82
16978522,19,86
16979055,80,39
16979148,47,81
16979206,17,39
16979233,178,80
16979421,24,87
16980672,33,36
16980718,34,83
16980764,32,84
16980806,16,85
16980978,462,82
16982522,176,86
16983055,80,39
16983148,47,81
16983206,17,39
16983233,158,80
16983401,29,87
16984678,34,36
16984724,36,83
16984772,98,84
16984880,25,85
16984982,70,82
16986522,19,86
16987055,80,39
16987148,47,81
16987206,17,39
16987233,171,80
16987414,24,87
16988680,34,36
16988726,36,83
16988773,33,84
16988816,16,85
16988978,73,82
16990522,19,86
16991055,80,39
16991148,47,81
16991206,17,39
16991233,166,80
16991409,24,87
16992672,34,36
16992718,34,83
16992764,33,84
16992807,15,85
16992978,595,82
16994524,176,86
16995057,78,39
16995148,47,81
16995206,18,39
16995233,156,80
16995399,31,87
16996674,34,36
16996720,34,83
16996766,91,84
16996867,25,85
16996982,70,82
16998522,19,86
16999055,80,39
16999148,47,81
16999206,17,39
16999233,161,80
16999404,24,87
17000674,34,36
17000720,35,83
17000767,32,84
17000809,16,85
17000982,730,82
17002529,176,86
17003058,77,39
17003148,47,81
17003206,17,39
17003233,175,80
17003418,32,87
17004672,33,36
17004718,34,83
17004764,91,84
17004865,31,85
17004982,79,82
17006522,19,86
17007055,80,39
17007148,47,81
17007206,17,39
17007233,156,80
17007399,24,87
17008674,34,36
17008720,36,83
17008768,32,84
17008810,16,85
17008980,450,82
17010531,185,86
17011055,80,39
17011148,47,81
17011206,17,39
17011233,156,80
17011399,29,87
17012672,33,36
17012718,34,83
17012764,91,84
17012865,24,85
17012982,70,82
17014524,26,86
17015057,78,39
17015148,47,81
17015206,21,39
17015236,190,80
17015436,29,87
17016672,33,36
17016718,34,83
17016764,36,84
17016810,16,85
17016979,485,82
17018524,185,86
17019057,78,39
17019148,47,81
17019206,18,39
17019233,156,80
17019399,31,87
17020389,65,88
17020687,43,36
17020742,45,83
17020799,78,84
17020887,24,85
17020982,70,82
17022439,43,88
17022545,19,86
17023055,80,39
17023148,47,81
17023206,17,39
17023233,158,80
17023401,25,87
17024672,33,36
17024718,34,83
17024764,32,84
17024806,16,85
17024978,73,82
17026439,43,88
17026545,19,86
17027055,80,39
17027148,47,81
17027206,17,39
17027233,175,80
17027418,24,87
17028672,33,36
17028718,33,83
17028762,33,84
17028805,16,85
17028982,712,82
17030439,44,88
17030547,186,86
17031057,78,39
17031148,47,81
17031207,17,39
17031233,156,80
17031399,31,87
17032672,33,36
17032718,32,83
17032762,91,84
17032863,24,85
17032982,70,82
17034437,43,88
17034540,19,86
17035055,80,39
17035148,47,81
17035206,17,39
17035233,158,80
17035401,24,87
17036676,34,36
17036722,34,83
17036768,33,84
17036811,15,85
17036995,65,82
17038439,46,88
17038549,19,86
17039055,80,39
17039148,47,81
17039206,17,39
17039233,177,80
17039420,27,87
17040672,33,36
17040718,34,83
17040764,32,84
17040806,16,85
17040978,451,82
17042439,44,88
17042547,186,86
17043057,78,39
17043148,47,81
17043206,18,39
17043233,161,80
17043404,31,87
17044673,33,36
17044718,34,83
17044764,91,84
17044865,25,85
17044982,70,82
17046437,43,88
17046540,19,86
17047055,80,39
17047148,47,81
17047206,17,39
17047233,165,80
17047408,24,87
17048672,33,36
17048718,34,83
17048764,33,84
17048807,16,85
17048978,73,82
17050437,43,88
17050540,19,86
17051055,80,39
17051148,47,81
17051206,17,39
17051233,178,80
17051421,24,87
17052674,34,36
17052720,51,83
17052783,19,84
17052812,16,85
17052982,725,82
17054439,45,88
17054548,186,86
17055058,77,39
17055148,47,81
17055206,17,39
17055233,163,80
17055406,35,87
17056678,34,36
17056724,57,83
17056793,77,84
17122439,52,88
17122556,19,86
17123058,77,39
17123148,47,81
17123206,17,39
17123233,178,80
17123421,29,87
17124674,34,36
17124720,36,83
17124768,33,84
17124811,15,85
17124982,454,82
17126437,48,88
17126545,187,86
17127055,80,39
17127148,47,81
17127206,17,39
17127233,156,80
17127399,32,87
17128674,34,36
17128720,34,83
17128766,91,84
17128867,25,85
17128982,70,82
17130437,43,88
17130540,19,86
17131055,80,39
17131148,47,81
17131206,17,39
17131233,156,80
17131399,26,87
17132675,34,36
17132721,34,83
17132767,33,84
17132810,16,85
17132987,74,82
17134439,43,88
17134546,19,86
17135057,78,39
17135148,47,81
17135206,17,39
17135233,177,80
17135420,28,87
17136674,33,36
17136719,33,83
17136764,32,84
17136806,16,85
17136999,438,82
17138439,44,88
17138547,187,86
17139057,78,39
17139148,47,81
17139206,18,39
17139233,156,80
17139399,34,87
17140673,34,36
17140719,33,83
17140764,91,84
17140865,24,85
17140982,70,82
17142440,42,88
17142547,19,86
17143055,80,39
17143148,47,81
17143206,17,39
17143233,161,80
17143404,26,87
17144672,33,36
17144718,35,83
17144765,33,84
17144808,16,85
17144978,721,82
17146441,44,88
17146553,186,86
17147056,79,39
17147148,47,81
17147206,17,39
17147233,178,80
17147421,32,87
17148691,43,36
17148746,41,83
17148798,89,84
17148897,24,85
17148996,78,82
17150437,43,88
17150540,19,86
17151055,80,39
17151148,47,81
17151206,17,39
17151233,158,80
17151401,27,87
17152672,34,36
17152718,36,83
17152766,32,84
17152808,16,85
17152978,450,82
17154440,44,88
17154549,187,86
17155057,78,39
17155148,48,81
17155207,17,39
17155233,157,80
17155400,33,87
17156679,52,36
17156743,39,83
17156794,81,84
17156885,25,85
17156982,71,82
17158437,43,88
17158540,19,86
17159055,80,39
17159148,47,81
17159206,17,39
17159233,190,80
17159433,27,87
17160672,33,36
17160718,35,83
17160765,33,84
17160808,16,85
17160978,720,82
17162449,44,88
17162557,186,86
17163057,78,39
17163148,47,81
17163206,18,39
17163233,156,80
17163399,34,87
17164675,33,36
17164721,34,83
17164767,91,84
17164868,24,85
17164982,70,82
17166437,43,88
17166540,19,86
17167055,80,39
17167148,47,81
17167206,17,39
17167233,158,80
17167401,27,87
17168674,34,36
17168720,59,83
17168791,19,84
17168820,16,85
17168978,73,82
17170437,43,88
17170540,19,86
17171055,80,39
17171148,47,81
17171206,17,39
17171233,178,80
17171421,26,87
17172674,34,36
17172720,36,83
17172768,33,84
17172811,16,85
17172982,456,82
17174439,50,88
17174553,190,86
17175058,77,39
17175148,47,81
17175206,17,39
17175233,156,80
17175399,34,87
17176672,34,36
17176718,34,83
17176764,94,84
17176868,25,85
17176983,70,82
17178437,43,88
17178540,19,86
17179055,80,39
17179148,47,81
17179206,17,39
17179233,156,80
17179399,26,87
17180687,43,36
17180742,36,83
17180790,19,84
17180819,16,85
17180978,73,82
17182437,43,88
17182540,19,86
17183055,80,39
17183148,47,81
17183206,17,39
17183233,179,80
17183422,26,87
17184699,41,83
17184753,37,84
17184800,16,85
17184978,869,82
17186441,44,88
17186553,186,86
17187059,76,39
17187148,47,81
17187206,17,39
17187233,161,80
17187404,35,87
17188674,34,36
17188720,34,83
17188766,91,84
17188867,25,85
17188982,71,82
17190437,43,88
17190540,19,86
17191055,80,39
17191148,47,81
17191206,17,39
17191233,156,80
17191399,26,87
17192675,34,36
17192721,52,83
17192785,20,84
17192815,16,85
17192981,449,82
17194439,44,88
17194547,186,86
17195023,103,87
17195164,47,81
17195248,175,80
17196672,34,36
17196718,57,83
17196787,85,84
17196882,25,85
17196982,79,82
17198439,43,88
17198547,19,86
17199055,80,39
17199148,47,81
17199206,17,39
17199233,158,80
17199401,27,87
17200674,34,36
17200720,54,83
17200786,23,84
17200819,16,85
17200978,450,82
17202437,44,88
17202542,175,86
17203055,80,39
17203148,47,81
17203206,17,39
17203233,158,80
17203401,32,87
17204672,33,36
17204718,33,83
17204762,91,84
17204863,25,85
17204982,70,82
17206439,43,88
17206545,19,86
17207057,78,39
17207148,47,81
17207206,17,39
17207233,179,80
17207422,28,87
17208672,33,36
17208718,34,83
17208764,33,84
17208807,16,85
17208978,73,82
17210439,43,88
17210545,19,86
17211057,78,39
17211148,47,81
17211206,17,39
17211233,156,80
17211399,28,87
17212672,33,36
17212718,34,83
17212764,32,84
17212806,16,85
17213004,676,82
17214442,45,88
17214554,186,86
17215057,78,39
17215148,47,81
17215206,18,39
17215233,156,80
17215399,34,87
17216674,34,36
17216720,34,83
17216766,98,84
17216874,25,85
17216982,71,82
17218456,42,88
17218562,19,86
17219016,87,87
17219144,47,81
17219228,189,80
17220672,33,36
17220718,35,83
17220765,33,84
17220808,16,85
17220978,460,82
17222439,79,40
17222532,177,86
17222720,155,72
17223042,93,39
17223148,47,81
17223206,17,39
17223233,156,80
17223399,19,87
17224437,50,88
17224679,34,36
17224725,34,83
17224771,91,84
17224872,25,85
17224982,71,82
17226439,43,88
17226545,19,86
17227057,78,39
17227148,47,81
17227206,17,39
17227233,157,80
17227400,29,87
17228672,34,36
17228718,36,83
17228766,32,84
17228808,16,85
17228978,450,82
17230439,44,88
17230547,186,86
17231057,78,39
17231148,47,81
17231206,18,39
17231233,190,80
17231433,33,87
17232672,33,36
17232718,32,83
17232762,91,84
17232863,24,85
17232982,81,82
17234437,43,88
17234540,19,86
17235055,80,39
17235148,47,81
17235206,17,39
17235233,159,80
17235402,26,87
17236684,33,36
17236729,36,83
17236777,33,84
17236820,16,85
17236980,74,82
17238452,42,88
17238558,25,86
17239016,87,87
17239144,47,81
17239228,154,80
17240672,33,36
17240718,34,83
17240764,32,84
17240807,22,85
17240990,676,82
17242441,45,88
17242553,187,86
17243057,78,39
17243148,47,81
17243206,18,39
17243233,176,80
17243419,33,87
17244683,33,36
17244728,54,83
17244794,81,84
17244885,24,85
17244982,79,82
17246437,43,88
17246540,19,86
17247055,80,39
17247148,47,81
17247206,17,39
17247233,159,80
17247402,26,87
17248672,34,36
17248718,36,83
17248766,32,84
17248808,16,85
17248978,73,82
17250439,43,88
17250545,19,86
17251057,78,39
17251148,47,81
17251206,17,39
17251233,157,80
17251400,28,87
17252672,33,36
17252718,34,83
17252764,32,84
17252806,16,85
17252978,595,82
17254461,32,40
17254505,176,86
17254692,54,88
17255016,92,87
17255146,48,81
17255231,177,80
17256674,34,36
17256720,57,83
17256789,77,84
17256876,25,85
17256982,71,82
17399055,80,39
17399148,47,81
17399206,17,39
17399233,180,80
17399423,27,87
17400674,34,36
17400720,36,83
17400768,33,84
17400811,16,85
17400982,591,82
17402439,44,88
17402547,186,86
17403057,78,39
17403148,47,81
17403206,18,39
17403233,157,80
17403400,33,87
17404675,33,36
17404720,35,83
17404766,91,84
17404867,25,85
17404982,71,82
17406439,56,88
17406559,19,86
17407057,78,39
17407148,47,81
17407206,17,39
17407233,172,80
17407415,28,87
17408672,33,36
17408718,34,83
17408764,33,84
17408807,16,85
17408978,73,82
17410439,43,88
17410545,30,86
17411016,91,87
17411144,48,81
17411228,155,80
17412672,33,36
17412718,32,83
17412762,33,84
17412805,15,85
17412978,674,82
17414439,44,88
17414547,186,86
17415057,78,39
17415148,47,81
17415206,18,39
17415233,157,80
17415400,33,87
17416674,34,36
17416720,34,83
17416766,91,84
17416867,25,85
17416982,70,82
17418437,43,88
17418540,19,86
17419055,80,39
17419148,47,81
17419206,17,39
17419233,157,80
17419400,26,87
17420674,34,36
17420720,36,83
17420768,32,84
17420810,16,85
17420980,74,82
17422437,43,88
17422540,19,86
17423055,80,39
17423148,47,81
17423206,17,39
17423233,183,80
17423426,27,87
17424682,33,36
17424727,38,83
17424777,33,84
17424820,15,85
17424982,456,82
17426440,78,40
17426532,177,86
17426720,171,72
17427042,93,39
17427148,47,81
17427206,17,39
17427233,159,80
17427402,18,87
17428672,33,36
17428718,35,83
17428765,89,84
17428864,28,85
17428982,74,82
17429382,43,88
17430439,46,88
17430549,19,86
17431055,80,39
17431148,51,81
17431210,17,39
17431237,164,80
17431411,27,87
17432672,33,36
17432718,51,83
17432781,19,84
17432810,16,85
17432982,691,82
17434441,44,88
17434553,185,86
17435059,76,39
17435148,47,81
17435206,17,39
17435233,170,80
17435413,35,87
17436674,34,36
17436720,50,83
17436782,76,84
17436868,24,85
17436982,70,82
17438440,47,88
17438550,19,86
17439057,78,39
17439148,47,81
17439206,17,39
17439233,157,80
17439400,42,87
17440674,33,36
17440720,36,83
17440768,33,84
17440811,16,85
17440981,464,82
17442441,44,88
17442549,197,86
17443057,78,39
17443148,49,81
17443208,17,39
17443235,164,80
17443409,45,87
17444674,34,36
17444720,33,83
17444765,93,84
17444868,26,85
17444992,74,82
17446437,43,88
17446540,19,86
17447055,80,39
17447148,47,81
17447206,17,39
17447233,192,80
17447435,27,87
17448674,34,36
17448720,36,83
17448768,32,84
17448810,16,85
17448980,471,82
17450439,51,88
17450555,189,86
17451058,77,39
17451148,47,81
17451206,17,39
17451233,156,80
17451399,35,87
17452672,33,36
17452718,33,83
17452762,89,84
17452861,25,85
17452982,70,82
17454439,47,88
17454550,19,86
17455057,78,39
17455148,47,81
17455206,17,39
17455233,157,80
17455400,28,87
17456672,34,36
17456718,36,83
17456766,45,84
17456821,16,85
17456981,73,82
17458439,43,88
17458546,29,86
17459057,78,39
17459148,47,81
17459206,17,39
17459233,170,80
17459413,28,87
17460672,33,36
17460718,34,83
17460764,32,84
17460806,16,85
17460978,677,82
17462439,45,88
17462548,185,86
17463058,77,39
17463148,47,81
17463206,17,39
17463233,156,80
17463399,35,87
17464676,33,36
17464721,57,83
17464790,75,84
17464875,25,85
17464982,70,82
17466437,43,88
17466540,19,86
17467055,80,39
17467148,47,81
17467206,17,39
17467233,163,80
17467406,27,87
17468675,34,36
17468721,36,83
17468769,33,84
17468812,15,85
17468982,591,82
