t,y
12508.857142856345,0.0
12508.857142856345,502.0
22508.857142856345,502.0
22508.857142856345,1273.0
32508.857142856345,1273.0
32508.857142856345,1335.0
42514.857142856345,1335.0
42514.857142856345,2041.0
52508.857142856345,2041.0
52508.857142856345,2553.0
62512.857142856345,2553.0
62512.857142856345,3323.0
72508.85714285634,3323.0
72508.85714285634,3383.0
82508.85714285634,3383.0
82508.85714285634,3906.0
92512.85714285634,3906.0
92512.85714285634,4631.0
102508.85714285634,4631.0
102508.85714285634,5314.0
112508.85714285634,5314.0
112508.85714285634,5382.0
122508.85714285634,5382.0
122508.85714285634,6181.0
132508.85714285634,6181.0
132508.85714285634,6696.0
142514.85714285634,6696.0
142514.85714285634,7501.0
152508.85714285634,7501.0
152508.85714285634,7562.0
162508.85714285634,7562.0
162508.85714285634,8104.0
172508.85714285634,8104.0
172508.85714285634,8741.0
182508.85714285634,8741.0
182508.85714285634,9549.0
192508.85714285634,9549.0
192508.85714285634,9609.0
202508.85714285634,9609.0
202508.85714285634,10186.0
212512.85714285634,10186.0
212512.85714285634,10911.0
222508.85714285634,10911.0
222508.85714285634,11405.0
232508.85714285634,11405.0
232508.85714285634,11473.0
242515.85714285634,11473.0
242515.85714285634,12007.0
252508.85714285634,12007.0
252508.85714285634,12866.0
262508.85714285634,12866.0
262508.85714285634,13400.0
272512.85714285634,13400.0
272512.85714285634,13472.0
282512.85714285634,13472.0
282512.85714285634,14239.0
292508.85714285634,14239.0
292508.85714285634,14751.0
302508.85714285634,14751.0
302508.85714285634,15528.0
312508.85714285634,15528.0
312508.85714285634,16171.0
322512.85714285634,16171.0
322512.85714285634,17032.0
332508.85714285634,17032.0
332508.85714285634,17093.0
342514.85714285634,17093.0
342514.85714285634,17636.0
352508.85714285634,17636.0
352508.85714285634,18849.0
362508.85714285634,18849.0
362508.85714285634,19679.0
372508.85714285634,19679.0
372508.85714285634,19739.0
382508.85714285634,19739.0
382508.85714285634,20435.0
392512.85714285634,20435.0
392512.85714285634,21142.0
402508.85714285634,21142.0
402508.85714285634,21669.0
412508.85714285634,21669.0
412508.85714285634,21747.0
422508.85714285634,21747.0
422508.85714285634,22510.0
432508.85714285634,22510.0
432508.85714285634,23014.0
442514.85714285634,23014.0
442514.85714285634,23517.0
452512.85714285634,23517.0
452512.85714285634,23578.0
462508.85714285634,23578.0
462508.85714285634,24520.0
472508.85714285634,24520.0
472508.85714285634,25015.0
482508.85714285634,25015.0
482508.85714285634,25792.0
492508.85714285634,25792.0
492508.85714285634,25852.0
502512.85714285634,25852.0
502512.85714285634,26354.0
512512.85714285634,26354.0
512512.85714285634,27062.0
522508.85714285634,27062.0
522508.85714285634,27723.0
532508.8571428563,27723.0
532508.8571428563,27801.0
542515.8571428563,27801.0
542515.8571428563,28353.0
552508.8571428563,28353.0
552508.8571428563,29052.0
562508.8571428563,29052.0
562508.8571428563,29555.0
572512.8571428563,29555.0
572512.8571428563,29616.0
582512.8571428563,29616.0
582512.8571428563,30418.0
592508.8571428563,30418.0
592508.8571428563,31048.0
602508.8571428563,31048.0
602508.8571428563,31811.0
612508.8571428563,31811.0
612508.8571428563,31871.0
622512.8571428563,31871.0
622512.8571428563,32373.0
632508.8571428563,32373.0
632508.8571428563,33123.0
642515.8571428563,33123.0
642515.8571428563,33798.0
652508.8571428563,33798.0
652508.8571428563,33877.0
662512.8571428563,33877.0
662512.8571428563,34413.0
672508.8571428563,34413.0
672508.8571428563,35123.0
682508.8571428563,35123.0
682508.8571428563,35684.0
692512.8571428563,35684.0
692512.8571428563,35746.0
702508.8571428563,35746.0
702508.8571428563,36519.0
712508.8571428563,36519.0
712508.8571428563,37148.0
722508.8571428563,37148.0
722508.8571428563,38034.0
732508.8571428563,38034.0
732508.8571428563,38093.0
742515.8571428563,38093.0
742515.8571428563,38594.0
752551.8571428563,38594.0
752551.8571428563,39310.0
762512.8571428563,39310.0
762512.8571428563,40708.0
772508.8571428563,40708.0
772508.8571428563,41269.0
782508.8571428563,41269.0
782508.8571428563,42082.0
792508.8571428563,42082.0
792508.8571428563,42145.0
802508.8571428563,42145.0
802508.8571428563,42647.0
812512.8571428563,42647.0
812512.8571428563,43356.0
822508.8571428563,43356.0
822508.8571428563,43985.0
832508.8571428563,43985.0
832508.8571428563,44053.0
842514.8571428563,44053.0
842514.8571428563,44813.0
852508.8571428563,44813.0
852508.8571428563,45308.0
862512.8571428563,45308.0
862512.8571428563,46071.0
872508.8571428563,46071.0
872508.8571428563,46132.0
882508.8571428563,46132.0
882508.8571428563,46783.0
892508.8571428563,46783.0
892508.8571428563,47277.0
902512.8571428563,47277.0
902512.8571428563,48042.0
912508.8571428563,48042.0
912508.8571428563,48102.0
922508.8571428563,48102.0
922508.8571428563,48615.0
932508.8571428563,48615.0
932508.8571428563,49128.0
942514.8571428563,49128.0
942514.8571428563,49884.0
952508.8571428563,49884.0
952508.8571428563,49952.0
962508.8571428563,49952.0
962508.8571428563,50455.0
972508.8571428563,50455.0
972508.8571428563,51316.0
982508.8571428563,51316.0
982508.8571428563,51826.0
992512.8571428563,51826.0
992512.8571428563,51898.0
1002508.8571428563,51898.0
1002508.8571428563,52655.0
1012508.8571428563,52655.0
1012508.8571428563,53177.0
1022508.8571428563,53177.0
1022508.8571428563,53995.0
1032508.8571428563,53995.0
1032508.8571428563,54054.0
1042514.8571428563,54054.0
1042514.8571428563,54750.0
1052512.8571428563,54750.0
1052512.8571428563,55458.0
1062508.8571428563,55458.0
1062508.8571428563,55953.0
1072508.8571428563,55953.0
1072508.8571428563,56022.0
1082508.8571428563,56022.0
1082508.8571428563,56534.0
1092508.8571428563,56534.0
1092508.8571428563,57230.0
1102508.8571428563,57230.0
1102508.8571428563,57864.0
1112512.8571428563,57864.0
1112512.8571428563,57940.0
1122512.8571428563,57940.0
1122512.8571428563,58806.0
1132508.8571428563,58806.0
1132508.8571428563,59317.0
1142515.8571428563,59317.0
1142515.8571428563,60076.0
1152508.8571428563,60076.0
1152508.8571428563,60136.0
1162508.8571428563,60136.0
1162508.8571428563,61419.0
1172508.8571428563,61419.0
1172508.8571428563,62091.0
1182508.8571428563,62091.0
1182508.8571428563,62865.0
1192508.8571428563,62865.0
1192508.8571428563,62934.0
1202512.8571428563,62934.0
